,SOURCE_ID,ra_now,dec_now,phot_g_mean_mag
274,5.260177534129471e+18,150.1755346953629,-54.77839658886786,15.805552
273,5.260177705937373e+18,150.14940922531054,-54.788442858263345,15.809784
997,5.260176709504967e+18,150.213668861785,-54.81072846854889,15.826257
703,5.260177637208731e+18,150.1981740877502,-54.77199487731181,15.833938
168,5.260177534138695e+18,150.18403101923772,-54.78610984396159,15.835932
947,5.260177431059465e+18,150.19944832035074,-54.81535380602435,15.846433
76,5.260177499778949e+18,150.17902166731255,-54.791276745179914,15.9144745
807,5.260177396699726e+18,150.1283369062345,-54.77936518650982,15.926486
414,5.260177121822071e+18,150.17406485282766,-54.8062731167813,15.927729
229,5.260177705937561e+18,150.15147236449255,-54.78953121790626,15.928576
747,5.260177637217923e+18,150.1932353722649,-54.768565881042406,15.934214
299,5.260177740297121e+18,150.1595300990177,-54.778525999097496,16.020979
165,5.260177740297122e+18,150.16593956838614,-54.7814056663687,16.063047
48,5.260177499778947e+18,150.17517165526166,-54.79279169181754,16.089655
400,5.260177499778943e+18,150.18056271805438,-54.80477503465829,16.102745
677,5.260177843376348e+18,150.16960994207804,-54.766359753591026,16.114021
478,5.260177327980243e+18,150.14516535977592,-54.801150222531525,16.1374
766,5.260177637218085e+18,150.2037772851162,-54.77327379796362,16.148508
490,5.260177121821816e+18,150.17200363953478,-54.8084281127516,16.17129
529,5.260177327980397e+18,150.14726734129712,-54.80451436682609,16.189241
9,5.260177499778947e+18,150.16905769439376,-54.78845349108809,16.205236
228,5.260177121821817e+18,150.16014924031685,-54.799012673434,16.216303
764,5.260177396690397e+18,150.12694508823677,-54.78364131885596,16.285334
611,5.260177327980241e+18,150.13986022146617,-54.803338449808365,16.292837
185,5.260177534129457e+18,150.1848570887116,-54.78634680220499,16.299616
210,5.260177534129467e+18,150.18404777334823,-54.78412158205074,16.308022
83,5.260177534138692e+18,150.17467322641113,-54.78498944455291,16.317112
21,5.260177495461257e+18,150.1650565926002,-54.7903394848471,16.349182
1,5.260177495457183e+18,150.16915400594303,-54.78968545811257,16.357164
151,5.260177705937374e+18,150.155431623005,-54.7880967116069,16.372427
52,5.260177701619687e+18,150.1632621307898,-54.78765128588754,16.402748
195,5.260177705928079e+18,150.15334333827522,-54.790914147760056,16.415142
590,5.260177327970892e+18,150.14052917072502,-54.80277372317636,16.447456
614,5.260177637218072e+18,150.19375812256092,-54.77281530920212,16.474932
352,5.260177121821815e+18,150.15766213320572,-54.802917064260235,16.492619
263,5.260177534138698e+18,150.18601786910745,-54.78298484616999,16.49936
434,5.260177740287909e+18,150.16907680491775,-54.773215650844165,16.512133
126,5.260177534138691e+18,150.18294146417622,-54.79101016166625,16.52028
331,5.2601775341387e+18,150.18955777013812,-54.78187502340024,16.54765
662,5.260177327980242e+18,150.1306817610296,-54.79540001186672,16.557266
615,5.260177770334718e+18,150.14702315256628,-54.77243884756927,16.59186
