,index,RA,e_RA_ICRS,DEC,e_DE_ICRS,MainID,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Dup,FG,e_FG,Gmag,e_Gmag,FBP,e_FBP,BPmag,e_BPmag,FRP,e_FRP,RPmag,e_RPmag,BP-RP,RV,e_RV,Teff,AG,E_BP-RP_,Rad,Lum,in_field,Weight
36,208,150.18510274092,0.0342,-54.80640845352,0.0293,5260177431059466240,0.3783,0.0403,-6.782,0.068,5.808,0.055,0,10745.0,5.6058,15.6104,0.0006,5600.0,14.345,15.9809,0.0028,7661.4,12.65,15.0512,0.0018,0.9298,,,5292.0,,,2.1,3.11,IN,0
37,141,150.19073544801,0.1683,-54.80628753613,0.134,5260177426737235584,0.2367,0.1865,-4.1,0.305,2.509,0.258,0,797.4,1.4216,18.4342,0.0019,327.53,9.321,19.0633,0.0309,718.25,7.9327,17.6212,0.012,1.442,,,,,,,,IN,0
38,56,150.17408395244,0.0357,-54.80628014685,0.0342,5260177121822070656,0.0759,0.0433,-4.15,0.072,2.702,0.062,0,8117.7,16.642,15.9148,0.0022,3500.2,18.233,16.4912,0.0057,6985.1,54.607,15.1515,0.0085,1.3397,,,4673.0,,,,,IN,0
39,140,150.19287594975,0.1537,-54.80582239328,0.1358,5260177426737235456,0.6585,0.1792,-4.216,0.297,3.574,0.25,0,734.36,1.1334,18.5236,0.0017,269.35,10.447,19.2756,0.0421,730.76,6.8973,17.6025,0.0102,1.6731,,,,,,,,IN,0
40,164,150.17970705028,0.1612,-54.80576424869,0.1445,5260177499769647232,-0.1995,0.1924,-4.804,0.32,2.618,0.275,0,668.01,1.1214,18.6264,0.0018,258.96,8.2712,19.3183,0.0347,684.65,8.1274,17.6732,0.0129,1.645,,,,,,,,IN,0
41,27,150.16585717594,0.152,-54.80520704419,0.1279,5260177117499591552,0.099,0.1624,-4.445,0.3,4.15,0.241,0,882.43,1.2219,18.3242,0.0015,338.86,8.3599,19.0264,0.0268,872.23,9.5812,17.4103,0.0119,1.616,,,,,,,,IN,0
42,238,150.20670555204,0.1598,-54.80512262918,0.1316,5260177465409957504,-0.047,0.1865,-4.639,0.322,2.414,0.233,0,802.82,1.2151,18.4268,0.0016,,,,,,,,,,,,,,,,,IN,0
43,64,150.16319406259,0.1748,-54.80500972834,0.1604,5260177117499591424,0.168,0.2039,-3.884,0.347,2.811,0.299,0,653.64,1.3193,18.65,0.0022,305.14,11.197,19.1401,0.0398,648.16,8.834,17.7327,0.0148,1.4074,,,,,,,,IN,0
44,217,150.18058222609,0.0428,-54.80478227151,0.0403,5260177499778942592,0.1392,0.0501,-4.159,0.088,2.836,0.078,0,6754.8,3.7828,16.1143,0.0006,2998.9,12.823,16.659,0.0046,5681.5,11.627,15.3758,0.0022,1.2832,,,4942.03,,,,,IN,0
45,237,150.20704979086,0.1164,-54.80470368994,0.1059,5260177465409957376,-0.1223,0.1339,-4.467,0.232,2.459,0.197,1,1030.2,1.3056,18.156,0.0014,580.02,19.328,18.4428,0.0362,1256.2,29.013,17.0142,0.0251,1.4286,,,,,,,,IN,0
