,SOURCE_ID,ra_now,dec_now,phot_g_mean_mag
20,5.260177499778945e+18,150.16567896738317,-54.791262409138014,15.481566
922,5.260177293620498e+18,150.14028248617845,-54.81411072202049,15.532437
494,5.260177431059466e+18,150.18507169327353,-54.80639343301157,15.595271
364,5.260177705937378e+18,150.15115604365906,-54.779532604297856,15.597191
620,5.260177735974988e+18,150.15381844436934,-54.769964079178855,15.626658
516,5.260177705937381e+18,150.149964648169,-54.7746469448559,15.6482935
943,5.260176675145227e+18,150.20918022279926,-54.81034404044794,15.65103
237,5.260177534138697e+18,150.17786236558516,-54.78007370718923,15.652883
22,5.260177499779105e+18,150.17161476230316,-54.78709471907499,15.659453
575,5.26017712182197e+18,150.17014114042018,-54.81064182402941,15.670817
155,5.260177529816921e+18,150.17723298219335,-54.78234144053127,15.682911
67,5.260177701615239e+18,150.16172557949392,-54.78861434536567,15.718758
699,5.260177121821811e+18,150.16154106565438,-54.813586229224256,15.767341
739,5.260177564176226e+18,150.2131339561346,-54.79363276077097,15.785714
622,5.260177293623553e+18,150.1467054292861,-54.80762050200333,15.795628
274,5.260177534129471e+18,150.17553479933918,-54.7783966230543,15.805552
273,5.260177705937373e+18,150.14940936517064,-54.78844289618231,15.809784
997,5.260176709504967e+18,150.21366895044628,-54.81072850124813,15.826257
703,5.260177637208731e+18,150.19817424588217,-54.77199495297349,15.833938
168,5.260177534138695e+18,150.18403112894046,-54.7861099091445,15.835932
947,5.260177431059465e+18,150.1994483912106,-54.81535384729601,15.846433
76,5.260177499778949e+18,150.17902173986243,-54.79127677236661,15.9144745
807,5.260177396699726e+18,150.12833697797615,-54.77936521316093,15.926486
414,5.260177121822071e+18,150.17406492442475,-54.806273143219876,15.927729
229,5.260177705937561e+18,150.15147243760387,-54.789531244633764,15.928576
747,5.260177637217923e+18,150.19323549827195,-54.76856592407626,15.934214
299,5.260177740297121e+18,150.15953011381086,-54.778526093593975,16.020979
165,5.260177740297122e+18,150.16593963944445,-54.78140569353815,16.063047
48,5.260177499778947e+18,150.175171726075,-54.792791719121574,16.089655
400,5.260177499778943e+18,150.18056279134683,-54.80477506180049,16.102745
677,5.260177843376348e+18,150.16961005292686,-54.7663597945457,16.114021
478,5.260177327980243e+18,150.14516543054933,-54.801150250078926,16.1374
766,5.260177637218085e+18,150.20377730253153,-54.7732738214781,16.148508
490,5.260177121821816e+18,150.17200371335633,-54.80842813998518,16.17129
529,5.260177327980397e+18,150.14726735917574,-54.80451438003717,16.189241
9,5.260177499778947e+18,150.1690577653942,-54.78845351802006,16.205236
228,5.260177121821817e+18,150.16014931336332,-54.79901270011983,16.216303
764,5.260177396690397e+18,150.12694517413206,-54.783641364723195,16.285334
611,5.260177327980241e+18,150.13986033921842,-54.80333849046744,16.292837
185,5.260177534129457e+18,150.18485716108134,-54.78634682941005,16.299616
210,5.260177534129467e+18,150.1840479001867,-54.784121633859776,16.308022
83,5.260177534138692e+18,150.17467329855458,-54.784989470642216,16.317112
21,5.260177495461257e+18,150.16505666529338,-54.79033951117358,16.349182
1,5.260177495457183e+18,150.16915407914098,-54.78968548495611,16.357164
151,5.260177705937374e+18,150.15543176694413,-54.78809676299409,16.372427
52,5.260177701619687e+18,150.16326223458213,-54.787651321098075,16.402748
195,5.260177705928079e+18,150.1533434114197,-54.790914173971665,16.415142
590,5.260177327970892e+18,150.1405293117199,-54.80277375342023,16.447456
614,5.260177637218072e+18,150.19375816786425,-54.77281533203775,16.474932
352,5.260177121821815e+18,150.1576621879098,-54.802917086756544,16.492619
263,5.260177534138698e+18,150.18601794054385,-54.78298487294211,16.49936
434,5.260177740287909e+18,150.1690769285002,-54.77321569367262,16.512133
126,5.260177534138691e+18,150.1829415367934,-54.79101018899969,16.52028
331,5.2601775341387e+18,150.18955784156407,-54.78187505063629,16.54765
662,5.260177327980242e+18,150.1306818708552,-54.795400045802346,16.557266
615,5.260177770334718e+18,150.14702322958436,-54.77243890937007,16.59186
